,ChannelStartInKeV,ChannelCount
10,0.2009962,88.23529411764706
11,0.2210159,242.1176470588236
12,0.2410356,387.7058823529412
13,0.2610553,450.2941176470589
14,0.281075,464.0
15,0.3010947,465.2941176470589
16,0.3211144,465.5294117647059
17,0.3411341,465.5882352941177
18,0.3611538,465.5882352941177
19,0.3811735,465.5882352941177
20,0.4011932,465.5882352941177
21,0.4212129,465.5882352941177
22,0.4412326,465.6470588235294
23,0.4612523,465.6470588235295
24,0.481272,465.4705882352942
25,0.5012917,464.0588235294118
26,0.5213114,449.0588235294118
27,0.5413311,379.0588235294118
28,0.5613508,226.1764705882353
29,0.5813705,81.41176470588236
30,0.6013902,19.47058823529412
31,0.6214099,7.000000000000001
32,0.6414296,6.294117647058823
33,0.6614493,6.88235294117647
34,0.681469,8.0
35,0.7014887,9.529411764705884
36,0.7215084,11.294117647058822
37,0.7415281,14.235294117647058
38,0.7615478,17.11764705882353
39,0.7815675,22.411764705882355
40,0.8015872,27.000000000000004
41,0.8216069,29.52941176470589
42,0.8416266,31.11764705882353
43,0.8616463,31.82352941176471
44,0.881666,32.88235294117647
45,0.9016857,33.64705882352941
46,0.9217054,36.23529411764706
47,0.9417251,38.17647058823529
48,0.9617448,38.88235294117647
49,0.9817645,39.70588235294118
50,1.001784,40.94117647058824
51,1.021804,42.352941176470594
52,1.041824,43.82352941176471
53,1.061843,45.1764705882353
54,1.081863,45.588235294117645
55,1.101883,44.88235294117648
56,1.121902,41.82352941176471
57,1.141922,38.70588235294118
58,1.161942,36.88235294117648
59,1.181962,36.05882352941177
60,1.201981,35.76470588235294
61,1.222001,34.82352941176471
62,1.242021,34.47058823529412
63,1.26204,33.294117647058826
64,1.28206,33.35294117647059
65,1.30208,34.58823529411765
66,1.322099,37.294117647058826
67,1.342119,41.23529411764706
68,1.362139,46.00000000000001
69,1.382159,53.88235294117648
70,1.402178,62.23529411764705
71,1.422198,70.47058823529413
72,1.442218,75.11764705882354
73,1.462237,76.70588235294117
74,1.482257,77.41176470588235
75,1.502277,78.58823529411764
76,1.522296,80.58823529411765
77,1.542316,85.64705882352942
78,1.562336,92.3529411764706
79,1.582355,97.52941176470588
80,1.602375,101.52941176470588
81,1.622395,103.76470588235296
82,1.642415,104.52941176470588
83,1.662434,104.88235294117648
84,1.682454,103.23529411764709
85,1.702474,100.47058823529412
86,1.722493,94.7058823529412
87,1.742513,89.58823529411765
88,1.762533,89.05882352941175
89,1.782552,96.1764705882353
90,1.802572,110.41176470588238
91,1.822592,132.11764705882354
92,1.842612,156.64705882352945
93,1.862631,177.41176470588235
94,1.882651,189.6470588235294
95,1.902671,194.1176470588236
96,1.92269,194.2941176470588
97,1.94271,193.1764705882353
98,1.96273,192.7058823529412
99,1.98275,193.58823529411765
100,2.002769,193.94117647058823
101,2.022789,195.0
102,2.042809,197.29411764705884
103,2.062828,206.5294117647059
104,2.082848,225.0
105,2.102868,262.82352941176475
106,2.122887,323.1764705882353
107,2.142907,391.5882352941177
108,2.162927,450.1176470588236
109,2.182946,486.4705882352941
110,2.202966,500.2941176470589
111,2.222986,504.2352941176471
112,2.243006,506.6470588235295
113,2.263025,513.7647058823529
114,2.283045,522.9411764705883
115,2.303065,531.7058823529412
116,2.323084,540.1176470588235
117,2.343104,548.4117647058824
118,2.363124,554.7647058823529
119,2.383144,561.5882352941178
120,2.403163,563.5294117647059
121,2.423183,564.7058823529412
122,2.443203,555.0588235294118
123,2.463222,548.9411764705883
124,2.483242,572.8235294117646
125,2.503262,649.2352941176472
